api_player_id,card_id,player_name,season,club,league,current_pool,coarse_position,rt,goals,assists,minutes,dribbles_per90,verified_position,confidence,evidence
1695,135891,Santi Cazorla,1213,Arsenal,PL,CM,MID,81,12,NR,3311,NR,CAM,medium,CORRECTION to pool (CM): Wenger's central playmaker/10 in his debut season
1457,133507,H. Mkhitaryan,1819,Arsenal,PL,CDM,MID,80,6,4,1643,1.1,Winger,low,CORRECTION to pool (CDM): RW/AM rotation under Emery - wide plurality (1643 min)
1459,133539,A. Ramsey,1819,Arsenal,PL,CDM,MID,78,4,6,1327,0.81,CM,low,"CORRECTION to pool (CDM): 8/10 rotation (1327 min) - advanced-central split, not a holder"
47311,130706,Mikel Merino,2425,Arsenal,PL,CM,MID,76,7,2,1581,0.51,CM,medium,Confirms pool: 8 - plus the famous emergency-CF spell in spring 2025 (minority of apps)
47311,130546,Mikel Merino,2526,Arsenal,PL,CM,MID,70,4,3,1035,0.43,CM,low,Confirms pool: 8 rotation with CF cameos; autumn only
19586,186833,E. Eze,2526,Arsenal,PL,CM,MID,76,7,2,1900,1.37,CM,low,Confirms pool narrowly: left-8/creator role with LW use in the autumn - close; spring unverifiable
297,134382,A. Oxlade-Chamberlain,1617,Arsenal,PL,CM,MID,72,2,7,1562,3.51,Winger,low,"CORRECTION to pool (CM): RW early, wing-back in the spring 3-4-3 - wide plurality across roles"
152982,130812,C. Palmer,2425,Chelsea,PL,CAM,MID,88,15,8,3199,1.43,CAM,high,Confirmed: Maresca's 10
152982,130497,C. Palmer,2526,Chelsea,PL,CAM,MID,80,10,1,1978,1,CAM,high,Confirmed: 10 (injury-shortened)
5996,130489,E. Fernández,2526,Chelsea,PL,CDM,MID,85,10,4,3134,0.37,CM,medium,"CORRECTION to pool (CDM): advanced left-8 (10 goals) with Caicedo holding; autumn-verified, spring beyond coverage"
5996,130809,E. Fernández,2425,Chelsea,PL,CDM,MID,82,6,7,2948,0.79,CM,medium,CORRECTION to pool (CDM): 8 beside Caicedo (the holder)
67972,131463,C. Gallagher,2324,Chelsea,PL,CDM,MID,80,5,7,3137,1.09,CM,medium,CORRECTION to pool (CDM): box-to-box 8/10 under Pochettino - Caicedo held
1864,130488,Pedro Neto,2526,Chelsea,PL,CM,MID,77,5,6,2643,1.6,Winger,medium,CORRECTION to pool (CM): wide L/R (autumn coverage); spring unverifiable
19220,132437,M. Mount,2021,Chelsea,PL,CM,MID,77,6,5,2891,1.34,CAM,low,CORRECTION to pool (CM): one of the dual 10s in Tuchel's 3-4-2-1 from Jan; mixed roles under Lampard - advanced plurality
2289,132330,Jorginho,2122,Chelsea,PL,CDM,MID,75,6,2,2278,0.63,CDM,high,Confirms pool: the pivot
2289,132744,Jorginho,2021,Chelsea,PL,CM,MID,74,7,1,2013,0.76,CDM,medium,CORRECTION to pool (CM): Tuchel's double-pivot 6
2292,133492,R. Loftus-Cheek,1819,Chelsea,PL,CM,MID,73,6,2,983,3.75,CM,low,Advanced 8 in Sarri rotation (983 min)
