player_name,season,league_code,api_player_id,card_id,proposed_position,current_pool,rt,agree_or_disagree,confidence,hold_reason,source_used,evidence
J. Rodríguez,1617,PL,19169,134098,CAM,Winger,65,AGREE,low,"low confidence + display name maps to 2 different api_player_ids, candidates listed",La Liga season records,1179 min of rotation appearances at AM/right - thin sample
J. Rodríguez,1617,LL,517,141118,CAM,CAM,80,AGREE,low,"low confidence + display name maps to 2 different api_player_ids, candidates listed",La Liga season records,1179 min of rotation appearances at AM/right - thin sample
K. De Bruyne,1516,PL,629,134720,CAM,CAM,84,PARTIAL - genuine CAM/Winger split,low,partial / genuinely split season,PL season records,David Silva held the 10 when fit; KDB's starts split right AM/RW and central during Silva's absences - near 50/50
K. De Bruyne,1617,PL,629,134310,CM,CAM,87,AGREE - flagged split,low,"agreed but season split, share too close",PL season records,Pep's first season mixed 4-3-3 (KDB 8) and 4-2-3-1 (KDB 10) - CM lean only
Luis Alberto,1920,SA,1859,146956,CM,CAM,85,DISAGREE (pass1 CAM),medium,passes disagreed,formation/lineup records,Inzaghi's 3-5-2 has no 10: Luis Alberto was the left mezzala of the midfield three (Leiva anchor; Correa/Immobile front two) - 'CAM' is a data-provider label not a lineup position
M. Pjanić,1516,SA,872,148742,CM,CAM,86,DISAGREE (pass1 CAM),low,passes disagreed,Serie A season records,Both Garcia and Spalletti ran midfield threes with Pjanić as an interior (De Rossi/Keita anchoring); 10 duties went to Totti/Perotti in the 4-2-3-1 games - CM lean but ambiguous
M. Rashford,2425,PL,909,131053,ST,CAM,53,AGREE - flagged near-50/50,low,"agreed but season split, share too close",Emery press quotes (footboom/Goal),Arrived as LW; Emery: switched him to striker after the Preston brace and kept him there in competition with Watkins - but only ~441 league min with many sub appearances; LW/CF split genuinely close
M. Reus,1112,BL,25,156291,CAM,CAM,88,AGREE - flagged split,low,"agreed but season split, share too close",Bundesliga season records,Favre's Gladbach: Reus as withdrawn forward/right-drifting attacker off Hanke - SS/CAM/RW boundaries blur
P. Foden,2526,PL,631,130598,CAM,CAM,80,AGREE,low,"live season, second half unverifiable",PL records (Aug-Jan) + press,Mixed campaign (aol/Athletic: in-and-out of XI); central when starting - thin evidence
Pablo Sarabia,1617,LL,2056,141069,Winger,CAM,83,AGREE - flagged RWB share,low,"agreed but season split, share too close",La Liga season records,Sampaoli's shifting 3-5-2/4-2-3-1 used him right mid and occasionally right wing-back - wide-right plurality
R. Cherki,2526,PL,156477,130481,CAM,CAM,82,AGREE,low,"live season, second half unverifiable",PL records (Aug-Jan),Creative mid role at City around an injury spell; second half post-dates verifiable coverage
T. Müller,1718,BL,522,154110,CAM,CAM,83,AGREE - flagged split,low,"agreed but season split, share too close",Bundesliga season records,Heynckes's 4-2-3-1: Müller at 10 when James was rested and RW when Robben was out - rotation-driven CAM/RW split
Talisca,2526,TR,12724,180654,CAM,CAM,83,AGREE,low,"live season, second half unverifiable",Süper Lig records (Aug-Jan),10/second striker at Fener; second half post-dates verifiable coverage
Philippe Coutinho,1718,LL,147,140668,Winger,CAM,81,AGREE,medium,"one research row, two league-cards; evidence covers the Barcelona half only",pass2_WRITE.csv,"Split season Jan 2018. Evidence text: ""Barcelona Jan-May: Valverde 4-4-2/4-3-3 - mostly left of attack with interior spells"" , says nothing about the Liverpool half (1116 min)."
Philippe Coutinho,1718,PL,147,133946,Winger,CAM,80,AGREE,medium,"one research row, two league-cards; evidence covers the Barcelona half only",pass2_WRITE.csv,"Split season Jan 2018. Evidence text: ""Barcelona Jan-May: Valverde 4-4-2/4-3-3 - mostly left of attack with interior spells"" , says nothing about the Liverpool half (1116 min)."
