card_id,api_player_id,player_name,season,current_pool,verified_position,confidence,evidence
173285,93990,Dirk Kuijt,1516,Winger,ST,medium,"CORRECTION: Feyenoord's captain-9 and top scorer (19 goals; blank assists = missing) — the rotation across roles came in 1617, not here; pool's Winger is wrong"
132336,80,E. Dennis,2122,ST,ST,low,"CONFIRM narrowly: led the line and played wide-left in roughly equal measure through Watford's managerial churn — genuine ST/Winger split"
157432,137303,E. Guessand,2425,ST,ST,medium,"CONFIRM: front-two/9 under Haise; 12G/8A"
134751,176,E. Lamela,1516,Winger,Winger,high,"CONFIRM: Poch's RW"
138966,47499,E. Ünal,2122,ST,ST,high,"CONFIRM: Getafe's 9; 16 goals"
172920,47499,E. Ünal,1617,ST,ST,high,"CONFIRM: Twente's 9 on loan; 18 goals"
153315,26257,F. Niederlechner,1920,ST,ST,medium,"CONFIRM: Augsburg's CF; 13 goals"
133543,2412,Felipe Anderson,1819,CM,Winger,high,"CORRECTION: Pellegrini's LW at West Ham (9 goals from the left) — pool's CM is plainly wrong"
141567,33413,Fernando Torres,1516,ST,ST,high,"CONFIRM: front-two rotation with Griezmann in Simeone's 4-4-2"
147284,30461,G. Defrel,1819,ST,ST,medium,"CONFIRM: front two beside Quagliarella at Sampdoria"
133363,18982,G. Murray,1819,ST,ST,high,"CONFIRM: Brighton's target 9; 13 goals"
157324,20732,G. Perrin,2425,Winger,Winger,low,"CONFIRM narrowly: Auxerre's right-sided attacker — RW/AM boundary, wide plurality"
140922,1707,Gerard Moreno,1617,ST,ST,high,"CONFIRM: Quique's 9 at Espanyol; ever-present"
184247,44317,Giuliano,1718,CAM,Winger,low,"CORRECTION with flag: wide-right AM in Kocaman's 4-2-3-1 (Valbuena left, Souza/Neto pivot) — genuinely ambiguous with CAM; identical verdict to this player-season in two earlier passes"
176543,27104,H. Cuypers,2122,ST,ST,medium,"CONFIRM: Mechelen's 9; 13G/10A"
184697,49892,H. Rodallega,1516,,ST,medium,"ASSIGNED (blank pool): Akhisar's veteran CF; 19-goal Süper Lig season (blank assists = missing)"
172539,548,H. Ziyech,1718,Winger,CAM,medium,"CORRECTION: Ajax's playmaker-10 (15 assists) with right-half drift — Neres held RW, Younes LW; pool's Winger fits later Chelsea years, not this season"
