card_id,api_player_id,player_name,season,current_pool,verified_position,confidence,evidence
133459,283,T. Alexander-Arnold,1819,FB,FB,high,"CONFIRM: Klopp's RB; 12 assists"
153400,2929,T. Hazard,1920,ST,CAM,low,"CORRECTION: one of the dual 10s beside Sancho in Favre's 3-4-2-1 behind Haaland from Nov, plus RW/RWB spells — advanced plurality, genuine multi-role season; pool's ST is wrong"
151485,26248,V. Grifo,2425,CM,Winger,medium,"CORRECTION: still Freiburg's LW/LM and set-piece taker (consistent with his 1617 card) — pool's CM is wrong"
164009,36798,V. Pavlidis,2425,ST,ST,high,"CONFIRM: Benfica's 9; 19 goals"
170397,36937,V. van Crooij,2223,Winger,Winger,low,"CONFIRM narrowly: right-sided attacker in Steijn's 3-4-1-2/5-3-2 with genuine wing-back share — wide plurality across roles"
159904,22102,W. Khazri,1819,ST,ST,medium,"CONFIRM: front role (CF/SS) in Gasset's 4-4-2; 13 goals"
132357,3247,W. Zaha,2122,ST,Winger,high,"CORRECTION: Vieira's LW with Édouard/Benteke at 9 — his 14 goals came from the left; pool's ST is wrong"
140950,2923,Y. Carrasco,1617,Winger,Winger,high,"CONFIRM: LW in Simeone's 4-4-2 — his best scoring season (contrast with his 21/22 card, where wing-back share made it a boundary case)"
154962,25412,Y. Mallı,1516,,CAM,medium,"ASSIGNED (blank pool): the 10 in Martin Schmidt's Mainz 4-2-3-1; 11 goals incl. penalties"
146500,51070,Z. Ibrahimović,2021,Winger,ST,high,"CORRECTION: Milan's 9 (15 goals in 1498 min) — pool's Winger is plainly wrong"
